Molecule;HF_G_N;HF_G_D;HF_t_N;HF_t_D;Acids;pKa (exp);pKa_HF
acetic;-227.61421;-227.138394;1;0;acetic;4.76;5.752654829817141
formic;-188.620559;-188.151255;0;0;formic;3.75;2.7573451701814813
